decile,p_low,p_high,predicted,predicted_indep,empirical,n,hits,ci_low,ci_high
1,0.02000149889350844,0.029498054499706404,0.025328324151047712,0.024169070282329827,0.0014694677261347555,18374,27,0.0010101375190582264,0.0021372179353494336
2,0.029498054499706404,0.03696475013402057,0.03316202956085645,0.03225466107944101,0.003809731141830848,18374,70,0.0030167420125749795,0.004810161882385135
3,0.03696475013402057,0.04426164863986443,0.040764188635596,0.03935129646917217,0.005823763130680891,18373,107,0.004822073215751688,0.007032063895600461
4,0.04426164863986443,0.05127351068016104,0.047582349311565235,0.04685575761026573,0.005769021443343856,18374,106,0.004772496425958138,0.006972168954115657
5,0.05127351068016104,0.062164027052461074,0.05641021585349384,0.05516384146335773,0.0035922277254667174,18373,66,0.002824787339138917,0.00456721194761556
6,0.062164027052461074,0.08343503342929529,0.07098602795658336,0.06860454422420818,0.005279198867965604,18374,97,0.004329805561201337,0.006435419447594037
7,0.08343503342929529,0.11730814782581528,0.10007457648921252,0.10103700580105276,0.0021226800195939693,18373,39,0.001553240235673255,0.0029002780446388517
8,0.11730814782581528,0.24493624680583365,0.1611769591165429,0.18879685323409395,0.0069663655164906935,18374,128,0.005862493713889338,0.008276359240420595
9,0.24493624680583365,0.41439326316192493,0.33694476019454805,0.3177173950561729,0.015348609372448701,18373,282,0.013669592614455587,0.017230254723837837
10,0.41439326316192493,1.0,0.49841075325581147,0.4977333305263375,0.03695439207575923,18374,679,0.03432196432832657,0.03978040468980666
