league,market,strategy,n_rows,g1_brier_diff_mean,g1_brier_diff_ci_lo,g1_brier_diff_ci_hi,g1_brier_diff_mean_oracle,g1_brier_diff_ci_lo_oracle,g1_brier_diff_ci_hi_oracle,g1_brier_skill_score,g2_star_pred_mean,g2_star_true_mean,g2_star_abs_diff,g2_star_sigma,g2_star_z,g2_star_z_oracle,g3_bench_pred_mean,g3_bench_true_mean,g3_bench_abs_diff,g3_bench_sigma,g3_bench_z,g3_bench_z_oracle,g4_iqr_pred,g4_iqr_true,g4_iqr_ratio,g4_iqr_ratio_oracle,g5_ece,g5_ece_oracle,g1_pass,g2_pass,g3_pass,g4_pass,g5_pass,ship
NBA,AST,ship75-step0-g4audit-2026-05-23,2212,-0.0397,-0.0472,-0.0325,-0.2872,-0.2929,-0.2814,0.1382,6.8016,6.8063,0.0047,3.0268,0.0015,0.0,1.973,1.4394,0.5336,1.4977,0.3563,0.0,2.7314,4.0,0.6829,1.0,0.0396,0.0,True,True,True,True,True,True
NBA,BLK,ship75-step0-g4audit-2026-05-23,2257,-0.0878,-0.1,-0.0744,-0.3048,-0.3113,-0.2979,0.288,1.6227,1.4469,0.1758,1.5461,0.1137,0.0,0.4354,0.246,0.1894,0.4852,0.3903,0.0,1.0,1.0,1.0,1.0,0.0338,0.0,True,True,True,True,True,True
NBA,BLST,ship75-step0-g4audit-2026-05-23,2181,-0.0189,-0.0272,-0.0104,-0.2653,-0.271,-0.2599,0.0713,2.1616,2.0868,0.0749,1.6581,0.0452,0.0,1.0801,0.9615,0.1186,1.0685,0.111,0.0,2.0,2.0,1.0,1.0,0.0905,0.0,True,True,True,True,False,False
NBA,DREB,ship75-step0-g4audit-2026-05-23,2116,-0.0769,-0.0865,-0.0667,-0.3064,-0.3133,-0.2996,0.2511,4.0991,4.0896,0.0094,1.5103,0.0062,0.0,2.1796,1.8998,0.2798,1.4998,0.1866,0.0,1.9513,3.0,0.6504,1.0,0.0873,0.0,True,True,True,True,False,False
NBA,FG3A,ship75-step0-g4audit-2026-05-23,2102,-0.0152,-0.0209,-0.009,-0.25,-0.25,-0.25,0.0607,5.2619,5.1754,0.0865,1.5653,0.0553,0.0,1.7771,1.3916,0.3855,1.6558,0.2328,0.0,2.5161,3.75,0.671,1.0,0.0665,0.0,True,True,True,True,True,True
NBA,FG3M,ship75-step0-g4audit-2026-05-23,2224,-0.1081,-0.1213,-0.094,-0.3318,-0.3412,-0.3222,0.3259,2.8386,2.6906,0.148,1.7929,0.0825,0.0,0.8615,0.5827,0.2787,0.9503,0.2933,0.0,2.0,2.0,1.0,1.0,0.0769,0.0,True,True,True,True,False,False
NBA,FGA,ship75-step0-g4audit-2026-05-23,1885,-0.0232,-0.0313,-0.0156,-0.2511,-0.2521,-0.2501,0.0925,12.5918,17.4127,4.8209,5.2904,0.9113,0.0,6.1199,6.6314,0.5115,3.1609,0.1618,0.0,4.6187,7.0,0.6598,1.0,0.0934,0.0,True,False,True,True,False,False
NBA,FGM,ship75-step0-g4audit-2026-05-23,2120,-0.0236,-0.0294,-0.0178,-0.25,-0.25,-0.25,0.0944,5.9059,5.7689,0.137,1.8079,0.0758,0.0,2.6834,2.5887,0.0947,1.9397,0.0488,0.0,2.6428,4.0,0.6607,1.0,0.0796,0.0,True,True,True,True,False,False
NBA,FTM,ship75-step0-g4audit-2026-05-23,2052,-0.0228,-0.0304,-0.0149,-0.2604,-0.2646,-0.2565,0.0874,3.0535,4.3058,1.2523,3.4071,0.3676,0.0,0.8667,0.729,0.1376,1.162,0.1184,0.0,2.0,3.0,0.6667,1.0,0.0413,0.0,True,True,True,True,True,True
NBA,MIN,ship75-step0-g4audit-2026-05-23,1582,-0.071,-0.08,-0.0619,-0.25,-0.25,-0.25,0.284,29.1936,29.0377,0.1559,3.4694,0.0449,0.0,23.0461,24.1414,1.0954,4.2617,0.257,0.0,6.4974,7.0,0.9282,1.0,0.0488,0.0,True,True,True,True,True,True
